Alle Berechnungsarten;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;gen1;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;load1;load1;load1;load1
"Zeitpunkt in s";"Nennfrequenz in Hz";"Tag[Pgn] in s";"Nenn-Leistungsfaktor";"dkd";"dpe";"Turbinenleistung in p.u.";"dpu";"Zusätzliches Drehmoment in p.u.";"Drehmoment Eingang in p.u.";"Td0' in s";"Td' in s";"Tq0' in s";"Tq' in s";"Td0'' in s";"Td'' in s";"Tq0'' in s";"Tq'' in s";"U, Winkel in deg";"u, Betrag in p.u.";"Elektrische Frequenz in Hz";"Gesättigte Hauptfeldreaktanz, d-Achse in p.u.";"Gesättigte Hauptfeldreaktanz, q-Achse in p.u.";"xl in p.u.";"rstr in p.u.";"xrld in p.u.";"xrlq in p.u.";"Subtransiente Reaktanz, d-Achse in p.u.";"Subtransiente Reaktanz, q-Achse in p.u.";"xd' in p.u.";"xq' in p.u.";"Synchrone Reaktanz, d-Achse in p.u.";"Synchrone Reaktanz, q-Achse in p.u.";"Reaktanz der Erregerwicklung in p.u.";"Reaktanz der 1d-Dämpferwicklung in p.u.";"Reaktanz der 1q-Dämpferwicklung in p.u.";"Reaktanz der 2q-Dämpferwicklung in p.u.";"Widerstand der Erregerwicklung in p.u.";"Widerstand der 1d-Dämpferwicklung in p.u.";"Widerstand der 1q-Dämpferwicklung in p.u.";"Widerstand der 2q-Dämpferwicklung in p.u.";"U, Winkel in deg";"u, Betrag in p.u.";"Elektrische Frequenz in Hz";"Mechanisches Moment in p.u.";"Elektrisches Moment in p.u.";"Ständerstrom, d-Achse in p.u.";"Ständerstrom, q-Achse in p.u.";"Strom in Erregerwicklung in p.u.";"Strom in 1d-Dämpferwicklung in p.u.";"Strom in 1q-Dämpferwicklung in p.u.";"Strom in 2q-Dämpferwicklung in p.u.";"Ständerfluss, d-Achse";"Ständerfluss, q-Achse in p.u.";"Subtransienter Fluss, d-Achse in p.u.";"Subtransienter Fluss, q-Achse in p.u.";"Fluss in Erregerwicklung in p.u.";"Fluss in 1d-Dämpferwicklung in p.u.";"Fluss in 1q-Dämpferwicklung in p.u.";"Fluss in 2q-Dämpferwicklung in p.u.";"Spannung, d-Achse in p.u.";"Spannung, q-Achse in p.u.";"Subtransiente Spannung, d-Achse in p.u.";"Subtransiente Spannung, q-Achse in p.u.";"Erregerspannung in p.u.";"Konvertierungsfaktor (=xadu/rfd)";"firel in deg";"Impedanz, phi in deg";"Impedanz, mag in p.u.";"Gesamte Wirkleistung/Anschluss i in MW";"Gesamte Blindleistung/Anschluss i in Mvar";"Gesamte Wirkleistung/Anschluss j in MW";"Gesamte Blindleistung/Anschluss j in Mvar";"u1, Betrag/Anschluss i in p.u.";"u1, Betrag/Anschluss j in p.u.";"Mitsystem-Strom, Betrag/Anschluss i in kA";"Mitsystem-Strom, Betrag/Anschluss j in kA";"u1, Betrag in p.u.";"Mitsystem-Strom, Betrag in kA";"Gesamte Wirkleistung in MW";"Gesamte Blindleistung in Mvar"
0,10000000;60,00000000;19,10303116;1,00000000;0,00000000;0,00000000;0,00204008;0,00000000;0,00000000;0,00000000;8,96000004;3,73128772;0,53500003;0,33461556;0,07500000;0,04984051;0,15000001;0,06254496;0,00000070;0,99999982;60,00000004;0,27819000;0,15666750;0,08316000;0,00000000;0,00000000;0,00000000;0,10000000;0,10000000;0,15048000;0,15000001;0,36135000;0,23982750;0,09142536;0,02229661;0,01886811;0,00000000;0,00011117;0,00317154;0,00310415;0,00000000;0,00000070;0,99999982;60,00000004;0,00204008;0,00204002;-0,00019271;0,00204011;3,59441404;0,00000008;-0,00000001;0,00000000;0,99999970;-0,00048928;0,99998043;-0,00028527;1,32860427;0,99998368;-0,00031962;0,00000000;0,00048928;0,99999970;0,00028527;0,99998043;0,99992981;2,50229750;0,00000000;83,29016326;0,16629975;-0,49995033;-0,00000000;0,50490389;-0,04794267;0,99413552;0,99999982;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0,00000000
0,10500000;60,00000000;19,10303116;1,00000000;0,00000000;0,00000000;0,00204008;0,00000000;0,00000000;0,00000000;8,96000004;3,73128772;0,53500003;0,33461556;0,07500000;0,04984051;0,15000001;0,06254496;-0,04308779;0,99955912;60,00000004;0,27819000;0,15666750;0,08316000;0,00000000;0,00000000;0,00000000;0,10000000;0,10000000;0,15048000;0,15000001;0,36135000;0,23982750;0,09142536;0,02229661;0,01886811;0,00000000;0,00011117;0,00317154;0,00310415;0,00000000;-0,04308779;0,99955912;60,00000004;0,00204008;0,00955601;0,00422080;0,00955500;3,59522698;0,00333349;0,00670710;0,00000000;0,99955835;-0,00124077;0,99998043;-0,00028527;1,32860407;0,99996497;-0,00035760;0,00000000;0,00124077;0,99955835;0,00028527;0,99998043;0,99992981;2,50229750;0,00000000;83,29016326;0,16629975;-2,23336890;-0,00000000;2,36511320;1,04125318;0,85780144;0,99955912;0,09110225;0,09046261;0,85780144;0,09110225;2,23336889;0,00000000
0,11166667;60,00000000;19,10303116;1,00000000;0,00000000;0,00000000;0,00204008;0,00000000;0,00000000;0,00000000;8,96000004;3,73128772;0,53500003;0,33461556;0,07500000;0,04984051;0,15000001;0,06254496;-0,04762017;0,99952151;60,00000004;0,27819000;0,15666750;0,08316000;0,00000000;0,00000000;0,00000000;0,10000000;0,10000000;0,15048000;0,15000001;0,36135000;0,23982750;0,09142536;0,02229661;0,01886811;0,00000000;0,00011117;0,00317154;0,00310415;0,00000000;-0,04762017;0,99952151;60,00000004;0,00204009;0,00955534;0,00422140;0,00955430;3,59558353;0,00285865;0,00620165;0,00000000;0,99952523;-0,00131979;0,99994737;-0,00036436;1,32860376;0,99994154;-0,00040660;0,00000000;0,00131979;0,99952064;0,00036436;0,99994278;0,99992981;2,50229750;0,00000000;83,29016326;0,16629975;-2,23320084;-0,00000000;2,36493523;1,04117483;0,85776917;0,99952151;0,09109883;0,09045921;0,85776917;0,09109883;2,23320083;0,00000000
0,12166667;60,00000000;19,10303116;1,00000000;0,00000000;0,00000000;0,00204008;0,00000000;0,00000000;0,00000000;8,96000004;3,73128772;0,53500003;0,33461556;0,07500000;0,04984051;0,15000001;0,06254496;-0,05125407;0,99949270;59,99891809;0,27819000;0,15666750;0,08316000;0,00000000;0,00000000;0,00000000;0,10000000;0,10000000;0,15048000;0,15000001;0,36135000;0,23982750;0,09142536;0,02229661;0,01886811;0,00000000;0,00011117;0,00317154;0,00310415;0,00000000;-0,05125407;0,99949270;59,99891809;0,00204009;0,00955482;0,00422188;0,00955376;3,59585042;0,00250265;0,00579643;0,00000000;0,99950026;-0,00138314;0,99992245;-0,00042777;1,32860322;0,99990925;-0,00047694;0,00000000;0,00138314;0,99949174;0,00042776;0,99991393;0,99992981;2,50229750;0,00000000;83,29016326;0,16629975;-2,23307209;-0,00000000;2,36479888;1,04111480;0,85774444;0,99949270;0,09109620;0,09045660;0,85774444;0,09109620;2,23307208;0,00000000
0,13166667;60,00000000;19,10303116;1,00000000;0,00000000;0,00000000;0,00204008;0,00000000;0,00000000;0,00000000;8,96000004;3,73128772;0,53500003;0,33461556;0,07500000;0,04984051;0,15000001;0,06254496;-0,05461162;0,99946745;59,99869863;0,27819000;0,15666750;0,08316000;0,00000000;0,00000000;0,00000000;0,10000000;0,10000000;0,15048000;0,15000001;0,36135000;0,23982750;0,09142536;0,02229661;0,01886811;0,00000000;0,00011117;0,00317154;0,00310415;0,00000000;-0,05461162;0,99946745;59,99869863;0,00204010;0,00955438;0,00422234;0,00955327;3,59607695;0,00219980;0,00542204;0,00000000;0,99947887;-0,00144168;0,99990110;-0,00048635;1,32860258;0,99988087;-0,00054273;0,00000000;0,00144167;0,99946641;0,00048635;0,99988864;0,99992981;2,50229750;0,00000000;83,29016326;0,16629975;-2,23295927;-0,00000000;2,36467941;1,04106220;0,85772277;0,99946745;0,09109390;0,09045432;0,85772277;0,09109390;2,23295926;0,00000000
0,14166667;60,00000000;19,10303116;1,00000000;0,00000000;0,00000000;0,00204008;0,00000000;0,00000000;0,00000000;8,96000004;3,73128772;0,53500003;0,33461556;0,07500000;0,04984051;0,15000001;0,06254496;-0,05775241;0,99944475;59,99850928;0,27819000;0,15666750;0,08316000;0,00000000;0,00000000;0,00000000;0,10000000;0,10000000;0,15048000;0,15000001;0,36135000;0,23982750;0,09142536;0,02229661;0,01886811;0,00000000;0,00011117;0,00317154;0,00310415;0,00000000;-0,05775241;0,99944475;59,99850928;0,00204011;0,00955398;0,00422277;0,00955282;3,59627463;0,00193491;0,00507185;0,00000000;0,99946002;-0,00149644;0,99988229;-0,00054115;1,32860184;0,99985592;-0,00060427;0,00000000;0,00149643;0,99944363;0,00054114;0,99986591;0,99992981;2,50229750;0,00000000;83,29016326;0,16629975;-2,23285784;-0,00000000;2,36457200;1,04101491;0,85770329;0,99944475;0,09109183;0,09045226;0,85770329;0,09109183;2,23285783;0,00000000
0,15166667;60,00000000;19,10303116;1,00000000;0,00000000;0,00000000;0,00204008;0,00000000;0,00000000;0,00000000;8,96000004;3,73128772;0,53500003;0,33461556;0,07500000;0,04984051;0,15000001;0,06254496;-0,06069042;0,99942428;59,99832670;0,27819000;0,15666750;0,08316000;0,00000000;0,00000000;0,00000000;0,10000000;0,10000000;0,15048000;0,15000001;0,36135000;0,23982750;0,09142536;0,02229661;0,01886811;0,00000000;0,00011117;0,00317154;0,00310415;0,00000000;-0,06069042;0,99942428;59,99832670;0,00204012;0,00955363;0,00422317;0,00955241;3,59644710;0,00170323;0,00474428;0,00000000;0,99944340;-0,00154766;0,99986572;-0,00059242;1,32860103;0,99983397;-0,00066184;0,00000000;0,00154764;0,99942308;0,00059240;0,99984540;0,99992981;2,50229750;0,00000000;83,29016326;0,16629975;-2,23276637;-0,00000000;2,36447513;1,04097227;0,85768572;0,99942428;0,09108996;0,09045041;0,85768572;0,09108996;2,23276636;0,00000000
0,16166667;60,00000000;19,10303116;1,00000000;0,00000000;0,00000000;0,00204008;0,00000000;0,00000000;0,00000000;8,96000004;3,73128772;0,53500003;0,33461556;0,07500000;0,04984051;0,15000001;0,06254496;-0,06343873;0,99940575;59,99814558;0,27819000;0,15666750;0,08316000;0,00000000;0,00000000;0,00000000;0,10000000;0,10000000;0,15048000;0,15000001;0,36135000;0,23982750;0,09142536;0,02229661;0,01886811;0,00000000;0,00011117;0,00317154;0,00310415;0,00000000;-0,06343873;0,99940575;59,99814558;0,00204013;0,00955331;0,00422355;0,00955203;3,59659751;0,00150060;0,00443787;0,00000000;0,99942873;-0,00159557;0,99985109;-0,00064037;1,32860015;0,99981464;-0,00071569;0,00000000;0,00159555;0,99940448;0,00064035;0,99982683;0,99992981;2,50229750;0,00000000;83,29016326;0,16629975;-2,23268360;-0,00000000;2,36438748;1,04093368;0,85766983;0,99940575;0,09108828;0,09044873;0,85766983;0,09108828;2,23268359;0,00000000
0,17166667;60,00000000;19,10303116;1,00000000;0,00000000;0,00000000;0,00204008;0,00000000;0,00000000;0,00000000;8,96000004;3,73128772;0,53500003;0,33461556;0,07500000;0,04984051;0,15000001;0,06254496;-0,06600958;0,99938893;59,99796338;0,27819000;0,15666750;0,08316000;0,00000000;0,00000000;0,00000000;0,10000000;0,10000000;0,15048000;0,15000001;0,36135000;0,23982750;0,09142536;0,02229661;0,01886811;0,00000000;0,00011117;0,00317154;0,00310415;0,00000000;-0,06600958;0,99938893;59,99796338;0,00204013;0,00955303;0,00422391;0,00955168;3,59672863;0,00132336;0,00415125;0,00000000;0,99941577;-0,00164039;0,99983816;-0,00068522;1,32859921;0,99979761;-0,00076606;0,00000000;0,00164037;0,99938759;0,00068520;0,99980998;0,99992981;2,50229750;0,00000000;83,29016326;0,16629975;-2,23260845;-0,00000000;2,36430790;1,04089864;0,85765539;0,99938893;0,09108674;0,09044721;0,85765539;0,09108674;2,23260845;0,00000000
