Alle Berechnungsarten;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;L1-2;load1;load1;load1;load1
"Zeitpunkt in s";"Impedanz, phi in deg";"Impedanz, mag in p.u.";"Gesamte Wirkleistung/Anschluss i in MW";"Gesamte Blindleistung/Anschluss i in Mvar";"Gesamte Wirkleistung/Anschluss j in MW";"Gesamte Blindleistung/Anschluss j in Mvar";"u1, Betrag/Anschluss i in p.u.";"u1, Betrag/Anschluss j in p.u.";"Mitsystem-Strom, Betrag/Anschluss i in kA";"Mitsystem-Strom, Betrag/Anschluss j in kA";"u1, Betrag in p.u.";"Mitsystem-Strom, Betrag in kA";"Gesamte Wirkleistung in MW";"Gesamte Blindleistung in Mvar"
0,01000000;83,29016326;0,16629975;-0,49995034;-0,00000000;0,50490390;-0,04794268;0,99413553;0,99999983;0,01759692;0,01774652;0,99413553;0,01759692;0,49995033;0,00000000
0,02000000;83,29016326;0,16629975;-0,49995034;-0,00000000;0,50490390;-0,04794268;0,99413553;0,99999983;0,01759692;0,01774652;0,99413553;0,01759692;0,49995033;0,00000000
0,03000000;83,29016326;0,16629975;-0,49995034;-0,00000000;0,50490390;-0,04794268;0,99413552;0,99999983;0,01759692;0,01774652;0,99413552;0,01759692;0,49995033;0,00000000
0,04000000;83,29016326;0,16629975;-0,49995033;-0,00000000;0,50490389;-0,04794268;0,99413552;0,99999983;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0,00000000
0,05000000;83,29016326;0,16629975;-0,49995033;-0,00000000;0,50490389;-0,04794268;0,99413552;0,99999983;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0,00000000
0,06000000;83,29016326;0,16629975;-0,49995033;-0,00000000;0,50490389;-0,04794268;0,99413552;0,99999982;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0,00000000
0,07000000;83,29016326;0,16629975;-0,49995033;-0,00000000;0,50490389;-0,04794267;0,99413552;0,99999982;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0,00000000
0,08000000;83,29016326;0,16629975;-0,49995033;-0,00000000;0,50490389;-0,04794267;0,99413552;0,99999982;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0,00000000
0,09000000;83,29016326;0,16629975;-0,49995033;-0,00000000;0,50490389;-0,04794267;0,99413552;0,99999982;0,01759692;0,01774652;0,99413552;0,01759692;0,49995032;0,00000000
