IEEE1 Amplidyne;Bus 7;Bus 5;Bus 7;Bus 5
"Zeitpunkt in s";"U, rel.Winkel in deg";"U, rel.Winkel in deg";"u1, Betrag in p.u.";"u1, Betrag in p.u."
0,000000;3,718484;-3,988535;1,025770;0,995639
0,001000;3,718484;-3,988535;1,025770;0,995639
0,002000;3,718484;-3,988535;1,025770;0,995639
0,003000;3,718484;-3,988535;1,025770;0,995639
0,004000;3,718484;-3,988535;1,025770;0,995639
0,005000;3,718484;-3,988535;1,025770;0,995639
0,006000;3,718484;-3,988535;1,025770;0,995639
0,007000;3,718484;-3,988535;1,025770;0,995639
0,008000;3,718484;-3,988535;1,025770;0,995639
0,009000;3,718484;-3,988535;1,025770;0,995639
0,010000;3,718484;-3,988535;1,025770;0,995639
0,011000;3,718484;-3,988535;1,025770;0,995639
0,012000;3,718484;-3,988535;1,025770;0,995639
0,013000;3,718484;-3,988535;1,025770;0,995639
0,014000;3,718484;-3,988535;1,025770;0,995639
0,015000;3,718484;-3,988535;1,025770;0,995639
0,016000;3,718484;-3,988535;1,025770;0,995639
0,017000;3,718484;-3,988535;1,025770;0,995639
0,018000;3,718484;-3,988535;1,025770;0,995639
0,019000;3,718484;-3,988535;1,025770;0,995639
0,020000;3,718484;-3,988535;1,025770;0,995639
0,021000;3,718484;-3,988535;1,025770;0,995639
0,022000;3,718484;-3,988535;1,025770;0,995639
0,023000;3,718484;-3,988535;1,025770;0,995639
0,024000;3,718484;-3,988535;1,025770;0,995639
0,025000;3,718484;-3,988535;1,025770;0,995639
0,026000;3,718484;-3,988535;1,025770;0,995639
0,027000;3,718484;-3,988535;1,025770;0,995639
0,028000;3,718484;-3,988535;1,025770;0,995639
0,029000;3,718484;-3,988535;1,025770;0,995639
0,030000;3,718484;-3,988535;1,025770;0,995639
0,031000;3,718484;-3,988535;1,025770;0,995639
0,032000;3,718484;-3,988535;1,025770;0,995639
0,033000;3,718484;-3,988535;1,025770;0,995639
0,034000;3,718484;-3,988535;1,025770;0,995639
0,035000;3,718484;-3,988535;1,025770;0,995639
0,036000;3,718484;-3,988535;1,025770;0,995639
0,037000;3,718484;-3,988535;1,025770;0,995639
0,038000;3,718484;-3,988535;1,025770;0,995639
0,039000;3,718484;-3,988535;1,025770;0,995639
0,040000;3,718484;-3,988535;1,025770;0,995639
0,041000;3,718484;-3,988535;1,025770;0,995639
0,042000;3,718484;-3,988535;1,025770;0,995639
0,043000;3,718484;-3,988535;1,025770;0,995639
0,044000;3,718484;-3,988535;1,025770;0,995639
0,045000;3,718484;-3,988535;1,025770;0,995639
0,046000;3,718484;-3,988535;1,025770;0,995639
0,047000;3,718484;-3,988535;1,025770;0,995639
0,048000;3,718484;-3,988535;1,025770;0,995639
0,049000;3,718484;-3,988535;1,025770;0,995639
0,050000;3,718484;-3,988535;1,025770;0,995639
0,051000;3,718484;-3,988535;1,025770;0,995639
0,052000;3,718484;-3,988535;1,025770;0,995639
0,053000;3,718484;-3,988535;1,025770;0,995639
0,054000;3,718484;-3,988535;1,025770;0,995639
0,055000;3,718484;-3,988535;1,025770;0,995639
0,056000;3,718484;-3,988535;1,025770;0,995639
0,057000;3,718484;-3,988535;1,025770;0,995639
0,058000;3,718484;-3,988535;1,025770;0,995639
0,059000;3,718484;-3,988535;1,025770;0,995639
0,060000;3,718484;-3,988535;1,025770;0,995639
0,061000;3,718484;-3,988535;1,025770;0,995639
0,062000;3,718484;-3,988535;1,025770;0,995639
0,063000;3,718484;-3,988535;1,025770;0,995639
0,064000;3,718484;-3,988535;1,025770;0,995639
0,065000;3,718484;-3,988535;1,025770;0,995639
0,066000;3,718484;-3,988535;1,025770;0,995639
0,067000;3,718484;-3,988535;1,025770;0,995639
0,068000;3,718484;-3,988535;1,025770;0,995639
0,069000;3,718484;-3,988535;1,025770;0,995639
0,070000;3,718484;-3,988535;1,025770;0,995639
0,071000;3,718484;-3,988535;1,025770;0,995639
0,072000;3,718484;-3,988535;1,025770;0,995639
0,073000;3,718484;-3,988535;1,025770;0,995639
0,074000;3,718484;-3,988535;1,025770;0,995639
0,075000;3,718484;-3,988535;1,025770;0,995639
0,076000;3,718485;-3,988535;1,025770;0,995639
0,077000;3,718485;-3,988535;1,025770;0,995639
0,078000;3,718485;-3,988535;1,025770;0,995639
0,079000;3,718485;-3,988535;1,025770;0,995639
0,080000;3,718485;-3,988535;1,025770;0,995639
0,081000;3,718485;-3,988535;1,025770;0,995639
0,082000;3,718485;-3,988535;1,025770;0,995639
0,083000;3,718485;-3,988535;1,025770;0,995639
0,084000;3,718485;-3,988535;1,025770;0,995639
0,085000;3,718485;-3,988535;1,025770;0,995639
0,086000;3,718485;-3,988535;1,025770;0,995639
0,087000;3,718485;-3,988535;1,025770;0,995639
0,088000;3,718485;-3,988535;1,025770;0,995639
0,089000;3,718485;-3,988535;1,025770;0,995639
0,090000;3,718485;-3,988535;1,025770;0,995639
0,091000;3,718485;-3,988535;1,025770;0,995639
0,092000;3,718485;-3,988535;1,025770;0,995639
0,093000;3,718485;-3,988535;1,025770;0,995639
0,094000;3,718485;-3,988535;1,025770;0,995639
0,095000;3,718485;-3,988535;1,025770;0,995639
0,096000;3,718485;-3,988535;1,025770;0,995639
0,097000;3,718485;-3,988535;1,025770;0,995639
0,098000;3,718485;-3,988535;1,025770;0,995639
0,099000;3,718485;-3,988535;1,025770;0,995639
0,100000;3,718485;-3,988535;1,025770;0,995639
0,101000;3,718485;-3,988535;1,025770;0,995639
