IEEEtype3 SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT;SCPT
"Zeitpunkt in s";"A";"A1";"Ki1";"Current Factor in pu";"Voltage Factor in pu";"Controller Gain in pu";"Stabilization Path Gain in pu";"Excitor Constant in pu";"Measurement Delay in s";"Stabilization Path 1th Time Constant in s";"Excitor Time Constant in s";"Controller Time Constant in s";"Controller Output Minimum in pu";"Controller Output Maximum in pu";"Excitor Maximum Output in pu";"curex";"ur";"ui";"ir";"ii";"u";"usetp";"Vbias";"avrref";"upss";"vuel";"voel";"V1";"V2";"Vr";"Vb";"Vb1";"uerrs"
0,000000;0,304183;0,687144;2,620000;2,620000;1,190000;120,000000;0,020000;1,000000;0,000000;0,600000;0,050000;0,150000;-1,200000;1,200000;2,780000;1,791692;1,011588;0,165269;0,822865;0,100184;1,025000;1,025000;-0,002683;1,022317;0,000000;0,000000;0,000000;2,533906;0,834156;-0,321981;1,791693;1,791692;1,791693
0,001000;0,304183;0,687144;2,620000;2,620000;1,190000;120,000000;0,020000;1,000000;0,000000;0,600000;0,050000;0,150000;-1,200000;1,200000;2,780000;1,791692;1,011588;0,165269;0,822865;0,100184;1,025000;1,025000;-0,002683;1,022317;0,000000;0,000000;0,000000;2,533906;0,834156;-0,321981;1,791693;1,791692;1,791693
0,002000;0,304183;0,687144;2,620000;2,620000;1,190000;120,000000;0,020000;1,000000;0,000000;0,600000;0,050000;0,150000;-1,200000;1,200000;2,780000;1,791692;1,011588;0,165269;0,822865;0,100184;1,025000;1,025000;-0,002683;1,022317;0,000000;0,000000;0,000000;2,533906;0,834156;-0,321981;1,791693;1,791692;1,791693
0,003000;0,304183;0,687144;2,620000;2,620000;1,190000;120,000000;0,020000;1,000000;0,000000;0,600000;0,050000;0,150000;-1,200000;1,200000;2,780000;1,791692;1,011588;0,165269;0,822865;0,100184;1,025000;1,025000;-0,002683;1,022317;0,000000;0,000000;0,000000;2,533906;0,834156;-0,321981;1,791693;1,791692;1,791693
0,004000;0,304183;0,687144;2,620000;2,620000;1,190000;120,000000;0,020000;1,000000;0,000000;0,600000;0,050000;0,150000;-1,200000;1,200000;2,780000;1,791692;1,011588;0,165269;0,822865;0,100184;1,025000;1,025000;-0,002683;1,022317;0,000000;0,000000;0,000000;2,533906;0,834156;-0,321981;1,791693;1,791692;1,791693
0,005000;0,304183;0,687144;2,620000;2,620000;1,190000;120,000000;0,020000;1,000000;0,000000;0,600000;0,050000;0,150000;-1,200000;1,200000;2,780000;1,791692;1,011588;0,165269;0,822865;0,100184;1,025000;1,025000;-0,002683;1,022317;0,000000;0,000000;0,000000;2,533906;0,834156;-0,321981;1,791693;1,791692;1,791693
0,006000;0,304183;0,687144;2,620000;2,620000;1,190000;120,000000;0,020000;1,000000;0,000000;0,600000;0,050000;0,150000;-1,200000;1,200000;2,780000;1,791692;1,011588;0,165269;0,822865;0,100184;1,025000;1,025000;-0,002683;1,022317;0,000000;0,000000;0,000000;2,533906;0,834156;-0,321981;1,791693;1,791692;1,791693
0,007000;0,304183;0,687144;2,620000;2,620000;1,190000;120,000000;0,020000;1,000000;0,000000;0,600000;0,050000;0,150000;-1,200000;1,200000;2,780000;1,791692;1,011588;0,165269;0,822865;0,100184;1,025000;1,025000;-0,002683;1,022317;0,000000;0,000000;0,000000;2,533906;0,834156;-0,321981;1,791693;1,791692;1,791693
0,008000;0,304183;0,687144;2,620000;2,620000;1,190000;120,000000;0,020000;1,000000;0,000000;0,600000;0,050000;0,150000;-1,200000;1,200000;2,780000;1,791692;1,011588;0,165269;0,822865;0,100184;1,025000;1,025000;-0,002683;1,022317;0,000000;0,000000;0,000000;2,533906;0,834156;-0,321981;1,791693;1,791692;1,791693
0,009000;0,304183;0,687144;2,620000;2,620000;1,190000;120,000000;0,020000;1,000000;0,000000;0,600000;0,050000;0,150000;-1,200000;1,200000;2,780000;1,791692;1,011588;0,165269;0,822865;0,100184;1,025000;1,025000;-0,002683;1,022317;0,000000;0,000000;0,000000;2,533906;0,834156;-0,321981;1,791693;1,791692;1,791693
